dataset,algorithm,seed,step,run_result_str,run_result_val,run_result_type,filename_best,baseline_best_score,improvement_pct,step_portion
sat4j,gp,1,43,0.17,0.17,success,0.167,0.167,0.0,21-40%
sat4j,gp,1,44,0.173,0.173,success,0.167,0.167,0.0,21-40%
sat4j,gp,1,45,0.168,0.168,success,0.167,0.167,0.0,21-40%
sat4j,gp,1,46,0.17,0.17,success,0.167,0.167,0.0,21-40%
sat4j,gp,1,47,0.176,0.176,success,0.167,0.167,0.0,21-40%
sat4j,gp,1,48,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,21-40%
sat4j,gp,1,49,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,21-40%
sat4j,gp,1,4,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,50,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,21-40%
sat4j,gp,1,51,TEST_CODE_ERROR,,test_error,0.167,0.167,0.0,21-40%
sat4j,gp,1,52,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,21-40%
sat4j,gp,1,53,0.17,0.17,success,0.167,0.167,0.0,21-40%
sat4j,gp,1,54,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,21-40%
sat4j,gp,1,55,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,21-40%
sat4j,gp,1,56,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,21-40%
sat4j,gp,1,57,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,21-40%
sat4j,gp,1,58,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,21-40%
sat4j,gp,1,59,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,21-40%
sat4j,gp,1,5,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,60,0.167,0.167,success,0.167,0.167,0.0,21-40%
sat4j,gp,1,61,0.168,0.168,success,0.167,0.167,0.0,21-40%
sat4j,gp,1,62,0.168,0.168,success,0.167,0.167,0.0,21-40%
sat4j,gp,1,63,0.169,0.169,success,0.167,0.167,0.0,21-40%
sat4j,gp,1,64,0.164,0.164,success,0.167,0.167,0.0,21-40%
sat4j,gp,1,65,0.17,0.17,success,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,66,0.174,0.174,success,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,67,0.171,0.171,success,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,68,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,69,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,6,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,70,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,71,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,72,0.182,0.182,success,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,73,0.173,0.173,success,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,74,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,75,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,76,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,77,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,78,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,79,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,7,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,80,0.164,0.164,success,0.164,0.167,1.7964071856287438,21-40%
sat4j,gp,1,81,0.167,0.167,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,82,0.168,0.168,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,83,0.168,0.168,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,84,0.174,0.174,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,85,0.171,0.171,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,86,0.172,0.172,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,87,0.179,0.179,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,88,0.171,0.171,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,89,0.176,0.176,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,8,COMPILE_CODE_ERROR,,compile_error,0.167,0.167,0.0,1-20%
sat4j,gp,1,90,0.173,0.173,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,91,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,92,COMPILE_CODE_ERROR,,compile_error,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,93,0.169,0.169,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,94,0.179,0.179,success,0.164,0.167,1.7964071856287438,41-60%
sat4j,gp,1,95,0.177,0.177,success,0.164,0.167,1.7964071856287438,41-60%
